Vivado Simulator 2019.1
Time resolution is 1 ps
                   0 a=x, b=x, c=x, b=x, cin=x, s0=x, s1=x, cout=x
                 110 a=0, b=0, c=0, b=0, cin=0, s0=0, s1=0, cout=0
                 120 a=0, b=0, c=0, b=1, cin=0, s0=0, s1=1, cout=0
                 130 a=0, b=0, c=1, b=0, cin=0, s0=0, s1=1, cout=0
                 140 a=0, b=0, c=1, b=1, cin=0, s0=0, s1=0, cout=1
                 150 a=0, b=1, c=0, b=0, cin=0, s0=1, s1=0, cout=0
                 160 a=0, b=1, c=0, b=1, cin=0, s0=1, s1=1, cout=0
                 170 a=0, b=1, c=1, b=0, cin=0, s0=1, s1=1, cout=0
                 180 a=0, b=1, c=1, b=1, cin=0, s0=1, s1=0, cout=1
                 190 a=1, b=1, c=0, b=0, cin=0, s0=0, s1=1, cout=0
                 200 a=1, b=0, c=0, b=1, cin=0, s0=1, s1=1, cout=0
                 210 a=1, b=0, c=1, b=0, cin=0, s0=1, s1=1, cout=0
                 220 a=1, b=0, c=1, b=1, cin=0, s0=1, s1=0, cout=1
                 230 a=1, b=1, c=0, b=0, cin=0, s0=0, s1=1, cout=0
                 240 a=1, b=1, c=0, b=1, cin=0, s0=0, s1=0, cout=1
                 250 a=1, b=1, c=1, b=0, cin=0, s0=0, s1=0, cout=1
                 260 a=1, b=1, c=1, b=1, cin=0, s0=0, s1=1, cout=1
