Vivado Simulator 2019.1
Time resolution is 1 ps
                   0 a=x, b=x, c=x, b=x, bin=x, d0=x, d1=x, bout=x
                 110 a=0, b=0, c=0, b=0, bin=0, d0=0, d1=0, bout=0
                 120 a=0, b=0, c=0, b=1, bin=0, d0=0, d1=1, bout=1
                 130 a=0, b=0, c=1, b=0, bin=0, d0=0, d1=1, bout=0
                 140 a=0, b=0, c=1, b=1, bin=0, d0=0, d1=0, bout=0
                 150 a=0, b=1, c=0, b=0, bin=0, d0=1, d1=1, bout=1
                 160 a=0, b=1, c=0, b=1, bin=0, d0=1, d1=0, bout=1
                 170 a=0, b=1, c=1, b=0, bin=0, d0=1, d1=0, bout=0
                 180 a=0, b=1, c=1, b=1, bin=0, d0=1, d1=1, bout=1
                 190 a=1, b=1, c=0, b=0, bin=0, d0=0, d1=0, bout=0
                 200 a=1, b=0, c=0, b=1, bin=0, d0=1, d1=1, bout=1
                 210 a=1, b=0, c=1, b=0, bin=0, d0=1, d1=1, bout=0
                 220 a=1, b=0, c=1, b=1, bin=0, d0=1, d1=0, bout=0
                 230 a=1, b=1, c=0, b=0, bin=0, d0=0, d1=0, bout=0
                 240 a=1, b=1, c=0, b=1, bin=0, d0=0, d1=1, bout=1
                 250 a=1, b=1, c=1, b=0, bin=0, d0=0, d1=1, bout=0
                 260 a=1, b=1, c=1, b=1, bin=0, d0=0, d1=0, bout=0
